name,mfr,type,calories,fiber,rating
100% Bran,N,C,70,10,68.402973
100% Natural Bran,Q,C,120,2,33.983679
All-Bran,K,C,70,9,59.425505
All-Bran with Extra Fiber,K,C,50,14,93.704912
Almond Delight,R,C,110,1,34.384843
Apple Cinnamon Cheerios,G,C,110,1.5,29.509541
Apple Jacks,K,C,110,1,33.174094
Basic 4,G,C,130,2,37.038562
Bran Chex,R,C,90,4,49.120253
Bran Flakes,P,C,90,5,53.313813
Cap'n'Crunch,Q,C,120,0,18.042851
Cheerios,G,C,110,2,50.764999
Cream of Wheat (Quick),N,H,100,1,64.533816
Maypo,A,H,100,0,54.850917
